,date,price,simul1,simul2,simul3
0,2023-11-01 00:00:00+01:00,104.3,0.0,0.0,0.0
1,2023-11-01 00:15:00+01:00,77.55,0.0,0.0,0.0
2,2023-11-01 00:30:00+01:00,64.02,0.0,0.0,0.0
3,2023-11-01 00:45:00+01:00,59.19,0.0,0.0,0.0
4,2023-11-01 01:00:00+01:00,95.0,0.0,0.0,0.0
5,2023-11-01 01:15:00+01:00,65.09,0.0,0.0,0.0
6,2023-11-01 01:30:00+01:00,58.25,0.0,0.0,0.0
7,2023-11-01 01:45:00+01:00,37.72,0.0,0.0,0.0
8,2023-11-01 02:00:00+01:00,66.3,0.0,0.0,0.0
9,2023-11-01 02:15:00+01:00,62.24,0.0,0.0,0.0
10,2023-11-01 02:30:00+01:00,57.37,0.0,0.0,0.0
11,2023-11-01 02:45:00+01:00,50.08,0.0,0.0,0.0
12,2023-11-01 03:00:00+01:00,55.03,0.0,0.0,0.0
13,2023-11-01 03:15:00+01:00,52.52,0.0,0.0,0.0
14,2023-11-01 03:30:00+01:00,52.51,0.0,0.0,0.0
15,2023-11-01 03:45:00+01:00,43.94,0.0,0.0,0.0
16,2023-11-01 04:00:00+01:00,45.08,0.0,0.0,0.0
17,2023-11-01 04:15:00+01:00,50.06,0.0,0.0,0.0
18,2023-11-01 04:30:00+01:00,56.7,0.0,0.0,0.0
19,2023-11-01 04:45:00+01:00,56.88,0.0,0.0,0.0
20,2023-11-01 05:00:00+01:00,54.57,0.0,0.0,0.0
21,2023-11-01 05:15:00+01:00,52.59,0.0,0.0,0.0
22,2023-11-01 05:30:00+01:00,58.19,0.0,0.0,0.0
23,2023-11-01 05:45:00+01:00,85.08,0.0,0.0,0.0
24,2023-11-01 06:00:00+01:00,60.08,0.0,0.0,0.0
25,2023-11-01 06:15:00+01:00,67.22,0.0,0.0,0.0
26,2023-11-01 06:30:00+01:00,104.3,0.0,0.0,0.0
27,2023-11-01 06:45:00+01:00,105.01,0.0,0.0,0.0
28,2023-11-01 07:00:00+01:00,67.84,0.0,0.0,0.0
29,2023-11-01 07:15:00+01:00,74.34,0.0,0.0,0.0
30,2023-11-01 07:30:00+01:00,103.07,0.0,0.0,0.0
31,2023-11-01 07:45:00+01:00,104.3,0.0,0.0,0.0
32,2023-11-01 08:00:00+01:00,104.3,0.0,0.0,0.0
33,2023-11-01 08:15:00+01:00,70.45,0.0,0.0,0.0
34,2023-11-01 08:30:00+01:00,70.43,0.0,0.0,0.0
35,2023-11-01 08:45:00+01:00,65.21,0.0,0.0,0.0
36,2023-11-01 09:00:00+01:00,104.3,0.0,0.0,0.0
37,2023-11-01 09:15:00+01:00,59.85,0.0,0.0,0.0
38,2023-11-01 09:30:00+01:00,57.07,0.0,0.0,0.0
39,2023-11-01 09:45:00+01:00,35.11,0.0,0.0,0.0
40,2023-11-01 10:00:00+01:00,57.8,0.0,0.0,0.0
41,2023-11-01 10:15:00+01:00,50.05,0.0,0.0,0.0
42,2023-11-01 10:30:00+01:00,34.56,0.0,0.0,0.0
43,2023-11-01 10:45:00+01:00,45.06,0.0,0.0,0.0
44,2023-11-01 11:00:00+01:00,80.05,0.0,0.0,0.0
45,2023-11-01 11:15:00+01:00,50.48,0.0,0.0,0.0
46,2023-11-01 11:30:00+01:00,43.95,0.0,0.0,0.0
47,2023-11-01 11:45:00+01:00,-20.82,0.0,0.0,0.0
48,2023-11-01 12:00:00+01:00,77.3,0.0,0.0,0.0
49,2023-11-01 12:15:00+01:00,58.8,0.0,0.0,0.0
50,2023-11-01 12:30:00+01:00,42.02,0.0,0.0,0.0
51,2023-11-01 12:45:00+01:00,-33.93,0.0,0.0,0.0
52,2023-11-01 13:00:00+01:00,40.06,0.0,0.0,0.0
53,2023-11-01 13:15:00+01:00,37.74,0.0,0.0,0.0
54,2023-11-01 13:30:00+01:00,24.42,0.0,0.0,0.0
55,2023-11-01 13:45:00+01:00,37.12,0.0,0.0,0.0
56,2023-11-01 14:00:00+01:00,27.5,0.0,0.0,0.0
57,2023-11-01 14:15:00+01:00,38.92,0.0,0.0,0.0
58,2023-11-01 14:30:00+01:00,44.12,0.0,0.0,0.0
59,2023-11-01 14:45:00+01:00,91.38,0.0,0.0,0.0
60,2023-11-01 15:00:00+01:00,22.59,0.0,0.0,0.0
61,2023-11-01 15:15:00+01:00,53.3,0.0,0.0,0.0
62,2023-11-01 15:30:00+01:00,90.04,0.0,0.0,0.0
63,2023-11-01 15:45:00+01:00,106.47,0.0,0.0,0.0
64,2023-11-01 16:00:00+01:00,5.05,0.0,0.0,0.0
65,2023-11-01 16:15:00+01:00,63.35,0.0,0.0,0.0
66,2023-11-01 16:30:00+01:00,104.3,0.0,0.0,0.0
67,2023-11-01 16:45:00+01:00,127.57,0.0,0.0,0.0
68,2023-11-01 17:00:00+01:00,67.59,0.0,0.0,0.0
69,2023-11-01 17:15:00+01:00,92.55,0.0,0.0,0.0
70,2023-11-01 17:30:00+01:00,104.3,0.0,0.0,0.0
71,2023-11-01 17:45:00+01:00,109.92,0.0,0.0,0.0
72,2023-11-01 18:00:00+01:00,97.12,0.0,0.0,0.0
73,2023-11-01 18:15:00+01:00,91.37,0.0,0.0,0.0
74,2023-11-01 18:30:00+01:00,93.87,0.0,0.0,0.0
75,2023-11-01 18:45:00+01:00,90.01,0.0,0.0,0.0
76,2023-11-01 19:00:00+01:00,104.3,0.0,0.0,0.0
77,2023-11-01 19:15:00+01:00,102.54,0.0,0.0,0.0
78,2023-11-01 19:30:00+01:00,77.56,0.0,0.0,0.0
79,2023-11-01 19:45:00+01:00,65.04,0.0,0.0,0.0
80,2023-11-01 20:00:00+01:00,114.91,0.0,0.0,0.0
81,2023-11-01 20:15:00+01:00,104.3,0.0,0.0,0.0
82,2023-11-01 20:30:00+01:00,57.59,0.0,0.0,0.0
83,2023-11-01 20:45:00+01:00,30.75,0.0,0.0,0.0
84,2023-11-01 21:00:00+01:00,104.3,0.0,0.0,0.0
85,2023-11-01 21:15:00+01:00,79.3,0.0,0.0,0.0
86,2023-11-01 21:30:00+01:00,48.04,0.0,0.0,0.0
87,2023-11-01 21:45:00+01:00,16.51,0.0,0.0,0.0
88,2023-11-01 22:00:00+01:00,95.08,0.0,0.0,0.0
